Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,78.55,-126.25,90,top
C2,1uF,C_0402_1005Metric,133.433,-64.143,-90,top
C3,1uF,C_0402_1005Metric,133.533,-70.443,90,top
C4,10nF,C_0402_1005Metric,138.243,-72.323,0,top
C5,10nF,C_0402_1005Metric,139.283,-66.293,-90,top
C6,2.2uF,C_0402_1005Metric,139.1,-68.45,90,top
C7,2.2uF,C_0402_1005Metric,139.25,-63.15,90,top
J1,SD-112,SD_TE_2041021,144.483,-130.693,0,top
J2,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,199.925,-125.765,90,top
J3,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,199.5125,-54.7525,90,top
J7,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,199.62,-108.0525,90,top
J8,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,75.49,-143,180,top
J10,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,200.02,-143.51,90,top
J13,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,199.62,-90.31,90,top
J14,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,200.015,-72.54,90,top
J15,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.983,-136.693,0,top
J16,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.923,-127.423,0,top
J17,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.923,-118.173,0,top
J18,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.733,-108.943,0,top
J19,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.983,-99.693,0,top
J20,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.983,-90.443,0,top
J21,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.733,-81.193,0,top
J22,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.983,-71.943,0,top
J23,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.923,-62.233,0,top
J24,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,167.923,-52.463,0,top
J25,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,104.103,-73.403,180,top
J26,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,104.163,-82.423,180,top
J27,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,104.103,-91.423,180,top
J28,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,104.103,-100.403,180,top
J29,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,104.103,-109.403,180,top
J30,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,104.163,-118.403,180,top
J31,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,104.103,-127.403,180,top
J32,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,104.163,-136.403,180,top
J33,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,120.293,-127.673,180,top
J34,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,120.223,-136.673,180,top
J35,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,109.673,-73.713,0,top
J36,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,117.293,-83.423,180,top
J37,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,96.173,-52.713,0,top
J38,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,96.173,-62.213,0,top
J39,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,144.54,-52.92,0,top
J40,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,108.173,-52.713,0,top
J41,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,108.173,-62.213,0,top
J42,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,130.21,-52.9,0,top
R1,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.043,-136.423,-90,top
R2,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,119.043,-88.423,90,top
R3,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.293,-135.423,90,top
R4,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,117.793,-89.423,-90,top
R5,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.043,-127.0755,-90,top
R6,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,114.043,-90.673,90,top
R7,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.293,-126.0755,90,top
R8,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,112.793,-91.673,-90,top
R9,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.043,-117.8955,-90,top
R10,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,108.293,-92.5205,90,top
R11,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.293,-116.8255,90,top
R12,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,107.043,-93.7705,-90,top
R13,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,163.803,-108.673,-90,top
R14,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,107.043,-100.673,90,top
R15,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.043,-107.673,90,top
R16,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,108.293,-101.673,-90,top
R17,2.2K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,159.183,-62.293,0,top
R18,2.2K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,122.293,-122.923,0,top
R19,2.2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,159.65,-65.05,90,top
