Designator,Comment,Footprint,LCSC
C1,0.1u,402,C307331
"C2, C3",1uF,402,C52923
"C4, C5",10nF,402,C15195
"C6, C7",2.2uF,402,C12530
"H1, H2, H3, H4",MountingHole_Pad,,
J1,SD-112,SD-SMD,C961673
"J2, J3, J4, J5, J6, J7, J8, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J40, J41, J42",Conn_01x04,,
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36",2.2k,402,C25879
"R17, R18",2.2K,402,C25879
"U1, U2",MAX7356EUG+,TSSOP-24,C2150941
U3,BluePill_Breakout_Header,,
"U4, U6, U7, U8, U9, U10",MPRLS0025PA00001A,LGA-12,C3041242
U5,TJA1050,SOIC-8_3.9x4.9x1.27P,C6952
U17,NPA-700B-030D,,
U18,LP2985-5.0,SOT-23-5,C74511
U19,LP2985-3.3,SOT-23-5,C89826
